step 0: train loss 3.2792, val loss 3.6664
iter 555: loss 2.6709, time 239.28ms
iter 556: loss 3.3440, time 239.02ms
iter 557: loss 3.2317, time 239.51ms
iter 558: loss 2.9400, time 239.21ms
iter 559: loss 2.9501, time 239.07ms
iter 560: loss 3.0168, time 238.97ms
iter 561: loss 3.5407, time 239.20ms
iter 562: loss 3.3495, time 239.15ms
iter 563: loss 3.4180, time 239.19ms
iter 564: loss 2.9128, time 239.15ms
iter 565: loss 3.1474, time 239.05ms
iter 566: loss 2.7955, time 239.31ms
iter 567: loss 2.9873, time 239.07ms
iter 568: loss 3.4883, time 239.26ms
iter 569: loss 2.9781, time 239.24ms
iter 570: loss 3.3078, time 239.13ms
iter 571: loss 3.0660, time 239.18ms
iter 572: loss 3.2952, time 239.04ms
iter 573: loss 4.0194, time 239.14ms
iter 574: loss 3.1504, time 239.18ms
iter 575: loss 3.4268, time 238.99ms
iter 576: loss 2.6273, time 239.08ms
iter 577: loss 3.4865, time 238.98ms
iter 578: loss 3.1443, time 238.98ms
iter 579: loss 2.9915, time 239.20ms
iter 580: loss 3.6335, time 239.07ms
iter 581: loss 2.9770, time 239.13ms
iter 582: loss 3.2839, time 239.45ms
iter 583: loss 3.1900, time 239.10ms
iter 584: loss 3.6085, time 239.05ms
iter 585: loss 3.4133, time 239.14ms
iter 586: loss 3.2674, time 238.86ms
iter 587: loss 2.8601, time 239.38ms
iter 588: loss 3.1660, time 239.14ms
iter 589: loss 3.1369, time 239.97ms
iter 590: loss 3.4041, time 239.27ms
iter 591: loss 2.4010, time 239.17ms
iter 592: loss 3.1282, time 238.93ms
iter 593: loss 3.2984, time 238.92ms
iter 594: loss 3.1921, time 239.38ms
iter 595: loss 3.3021, time 239.23ms
iter 596: loss 3.0918, time 239.18ms
iter 597: loss 2.9396, time 239.34ms
iter 598: loss 3.4988, time 239.01ms
iter 599: loss 3.4879, time 239.43ms
step 600: train loss 2.9713, val loss 3.3370
saving checkpoint to out-violence
iter 600: loss 3.9653, time 55426.61ms
iter 601: loss 3.5275, time 241.06ms
iter 602: loss 3.1961, time 240.63ms
iter 603: loss 2.8523, time 240.49ms
iter 604: loss 3.1945, time 240.55ms
iter 605: loss 2.9897, time 240.26ms
iter 606: loss 2.9368, time 239.90ms
iter 607: loss 3.0676, time 240.17ms
iter 608: loss 2.9416, time 240.00ms
iter 609: loss 3.4203, time 239.24ms
iter 610: loss 3.5005, time 239.18ms
iter 611: loss 3.2725, time 239.13ms
iter 612: loss 3.2381, time 239.11ms
iter 613: loss 3.0819, time 239.21ms
iter 614: loss 3.0253, time 239.21ms
iter 615: loss 3.3819, time 239.15ms
iter 616: loss 3.3982, time 238.96ms
iter 617: loss 2.9108, time 239.06ms
iter 618: loss 3.4103, time 239.19ms
iter 619: loss 2.9359, time 239.21ms
iter 620: loss 2.7824, time 239.60ms
iter 621: loss 2.8803, time 239.63ms
iter 622: loss 3.7058, time 239.22ms
iter 623: loss 2.6743, time 239.05ms
iter 624: loss 2.7073, time 239.04ms
iter 625: loss 2.8743, time 239.22ms
iter 626: loss 3.0415, time 239.24ms
iter 627: loss 3.0072, time 239.09ms
iter 628: loss 3.2402, time 239.38ms
iter 629: loss 2.8900, time 239.22ms
iter 630: loss 3.4301, time 239.13ms
iter 631: loss 2.6820, time 239.04ms
iter 632: loss 3.1191, time 239.28ms
iter 633: loss 2.8959, time 239.25ms
iter 634: loss 3.3838, time 239.20ms
iter 635: loss 2.8713, time 239.29ms
iter 636: loss 2.8530, time 239.17ms
iter 637: loss 2.5461, time 239.08ms
iter 638: loss 3.4152, time 239.18ms
iter 639: loss 3.5648, time 239.19ms
iter 640: loss 3.3475, time 239.11ms
iter 641: loss 2.7696, time 239.31ms
iter 642: loss 2.4937, time 239.17ms
iter 643: loss 3.4600, time 239.21ms
iter 644: loss 2.4280, time 239.07ms
iter 645: loss 2.6941, time 239.05ms
iter 646: loss 3.0724, time 239.17ms
iter 647: loss 2.9532, time 239.36ms
iter 648: loss 2.9242, time 239.17ms
iter 649: loss 3.1225, time 239.14ms
iter 650: loss 3.2938, time 239.04ms
iter 651: loss 2.3866, time 239.17ms
iter 652: loss 3.3843, time 239.10ms
iter 653: loss 3.3331, time 239.15ms
iter 654: loss 2.9988, time 239.31ms
iter 655: loss 3.3595, time 239.15ms
